time,open,high,low,close,Volume
2025-05-13T23:00:00Z,42167.5,42194.5,42156.5,42171.5,1030
2025-05-14T00:00:00Z,42170.5,42177.5,42135.5,42149.5,1539
2025-05-14T01:00:00Z,42150.5,42164.5,42121.5,42144.5,1458
2025-05-14T02:00:00Z,42143.5,42148.5,42113.5,42133.5,831
2025-05-14T03:00:00Z,42134.5,42161.5,42133.5,42153.5,705
2025-05-14T04:00:00Z,42154.5,42183.5,42137.5,42167.5,549
2025-05-14T05:00:00Z,42166.5,42182.5,42151.5,42155.5,854
2025-05-14T06:00:00Z,42156.5,42174.5,42124.5,42161.5,1506
2025-05-14T07:00:00Z,42163.5,42199.5,42133.5,42178.5,2806
2025-05-14T08:00:00Z,42177.5,42204.5,42150.5,42177.5,2899
2025-05-14T09:00:00Z,42177.5,42182.5,42102.5,42120.5,2730
2025-05-14T10:00:00Z,42119.5,42150.5,42084.5,42132.5,1638
2025-05-14T11:00:00Z,42133.5,42187.5,42133.5,42151.5,2699
2025-05-14T12:00:00Z,42151.5,42233.5,42146.5,42189.5,2969
2025-05-14T13:00:00Z,42188.5,42250.5,42107.5,42182.5,10006
2025-05-14T14:00:00Z,42183.5,42242.5,42127.5,42144.5,12209
2025-05-14T15:00:00Z,42145.5,42179.5,42005.5,42141.5,9192
2025-05-14T16:00:00Z,42140.5,42173.5,42020.5,42055.5,6630
2025-05-14T17:00:00Z,42056.5,42067.5,41939.5,42042.5,8106
2025-05-14T18:00:00Z,42043.5,42102.5,41998.5,42076.5,7462
2025-05-14T19:00:00Z,42076.5,42120.5,42006.5,42035.5,8801
2025-05-14T20:00:00Z,42036.5,42064.5,42010.5,42020.5,2026
2025-05-14T22:00:00Z,42014.5,42015.5,41980.5,41987.5,1065
2025-05-14T23:00:00Z,41988.5,41988.5,41809.5,41840.5,2800
2025-05-15T00:00:00Z,41839.5,41890.5,41833.5,41876.5,1343
2025-05-15T01:00:00Z,41874.5,41887.5,41849.5,41862.5,1129
2025-05-15T02:00:00Z,41863.5,41886.5,41843.5,41876.5,716
2025-05-15T03:00:00Z,41876.5,41884.5,41860.5,41870.5,596
2025-05-15T04:00:00Z,41870.5,41877.5,41856.5,41869.5,418
2025-05-15T05:00:00Z,41870.5,41873.5,41792.5,41811.5,1465
2025-05-15T06:00:00Z,41812.5,41858.5,41805.5,41820.5,1467
2025-05-15T07:00:00Z,41821.5,41845.5,41753.5,41760.5,3801
2025-05-15T08:00:00Z,41770.5,41880.5,41769.5,41846.5,3628
2025-05-15T09:00:00Z,41844.5,41913.5,41844.5,41913.5,2619
2025-05-15T10:00:00Z,41911.5,41911.5,41860.5,41891.5,1913
2025-05-15T11:00:00Z,41890.5,41925.5,41864.5,41909.5,2473
2025-05-15T12:00:00Z,41908.5,41951.5,41838.5,41887.5,4446
2025-05-15T13:00:00Z,41888.5,41939.5,41813.5,41892.5,11424
2025-05-15T14:00:00Z,41893.5,41974.5,41879.5,41974.5,12497
2025-05-15T15:00:00Z,41975.5,42201.5,41964.5,42187.5,9406
2025-05-15T16:00:00Z,42187.5,42248.5,42144.5,42242.5,7255
2025-05-15T17:00:00Z,42242.5,42284.5,42190.5,42200.5,6865
2025-05-15T18:00:00Z,42200.5,42323.5,42175.5,42308.5,8880
2025-05-15T19:00:00Z,42307.5,42354.5,42261.5,42335.5,10952
2025-05-15T20:00:00Z,42333.5,42370.5,42307.5,42343.5,2525
2025-05-15T22:00:00Z,42322.5,42339.5,42300.5,42300.5,602
2025-05-15T23:00:00Z,42303.5,42337.5,42300.5,42319.5,751
2025-05-16T00:00:00Z,42321.5,42337.5,42271.5,42273.5,1390
2025-05-16T01:00:00Z,42272.5,42278.5,42252.5,42262.5,1160
2025-05-16T02:00:00Z,42261.5,42298.5,42254.5,42295.5,652
2025-05-16T03:00:00Z,42294.5,42309.5,42286.5,42293.5,474
2025-05-16T04:00:00Z,42292.5,42305.5,42285.5,42291.5,439
2025-05-16T05:00:00Z,42291.5,42306.5,42287.5,42292.5,514
2025-05-16T06:00:00Z,42293.5,42341.5,42273.5,42287.5,1178
2025-05-16T07:00:00Z,42288.5,42365.5,42278.5,42364.5,1939
2025-05-16T08:00:00Z,42363.5,42424.5,42358.5,42404.5,1855
2025-05-16T09:00:00Z,42405.5,42415.5,42386.5,42400.5,1344
2025-05-16T10:00:00Z,42399.5,42425.5,42387.5,42390.5,1240
2025-05-16T11:00:00Z,42390.5,42445.5,42367.5,42437.5,1457
2025-05-16T12:00:00Z,42436.5,42438.5,42378.5,42379.5,2011
2025-05-16T13:00:00Z,42380.5,42386.5,42216.5,42344.5,9593
2025-05-16T14:00:00Z,42343.5,42376.5,42239.5,42319.5,10399
2025-05-16T15:00:00Z,42320.5,42357.5,42290.5,42302.5,6781
2025-05-16T16:00:00Z,42301.5,42506.5,42293.5,42501.5,6007
2025-05-16T17:00:00Z,42502.5,42564.5,42490.5,42516.5,5598
